Date,Stock,label,Predicted,prob_down,prob_up,Confidence,window_id,fit_start,fit_end,Return_1d
2026-03-17,INDUSINDBK,-1,1,0.3572567,0.6427433,0.6427433,14,2020-02-12,2026-02-24,-0.0050906154404855
2026-03-17,INFY,1,1,0.37045157,0.62954843,0.62954843,14,2020-02-12,2026-02-24,-0.0135221825522481
2026-03-17,ITC,-1,1,0.1327591,0.8672409,0.8672409,14,2020-02-12,2026-02-24,-0.0110300597272999
2026-03-17,JSWSTEEL,-1,-1,0.5457249,0.45427507,0.5457249,14,2020-02-12,2026-02-24,0.01885472769401
2026-03-17,KOTAKBANK,-1,1,0.34011346,0.65988654,0.65988654,14,2020-02-12,2026-02-24,0.0117615412511258
2026-03-17,LT,1,1,0.30841327,0.69158673,0.69158673,14,2020-02-12,2026-02-24,0.0211564473875316
2026-03-17,M&M,-1,1,0.3230434,0.6769566,0.6769566,14,2020-02-12,2026-02-24,0.0305654628314586
2026-03-17,MARUTI,-1,1,0.42695707,0.5730429,0.5730429,14,2020-02-12,2026-02-24,0.0168534922003604
2026-03-17,NESTLEIND,-1,1,0.36395568,0.6360443,0.6360443,14,2020-02-12,2026-02-24,-0.0053568484170245
2026-03-17,NTPC,-1,1,0.3875476,0.6124524,0.6124524,14,2020-02-12,2026-02-24,0.0024843415852364
2026-03-17,ONGC,1,1,0.37631297,0.623687,0.623687,14,2020-02-12,2026-02-24,0.0165098390916975
2026-03-17,POWERGRID,-1,1,0.44486654,0.55513346,0.55513346,14,2020-02-12,2026-02-24,0.0025188916876575
2026-03-17,RELIANCE,-1,1,0.42300463,0.5769954,0.5769954,14,2020-02-12,2026-02-24,0.0017919862689053
2026-03-17,SBIN,-1,1,0.3169735,0.6830265,0.6830265,14,2020-02-12,2026-02-24,-0.0018749523077792
2026-03-17,SUNPHARMA,-1,1,0.42343348,0.5765665,0.5765665,14,2020-02-12,2026-02-24,0.0062808846729875
2026-03-17,TCS,1,1,0.24086851,0.7591315,0.7591315,14,2020-02-12,2026-02-24,-0.0072638130925709
2026-03-17,TECHM,1,1,0.49270004,0.50729996,0.50729996,14,2020-02-12,2026-02-24,0.0017170950564575
